table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
243;Fairfield city, California;105321;105467;105598;106245;107497;109137;110727;112365;114456;115817;116678;117133
244;Clearwater city, Florida;107685;109139;109052;109204;109538;110279;111167;112939;114175;115482;116324;116946
245;Beaumont city, Texas;118296;117278;117378;117908;117033;118068;117812;118603;118734;118953;117667;116825
246;Independence city, Missouri;116830;116812;116891;116917;117318;117281;117505;117260;117268;117197;117017;116672
247;Provo city, Utah;112488;112487;112923;115191;115559;116119;115378;114596;116627;117583;116630;116618
248;West Jordan city, Utah;103712;103601;104023;106349;108086;109735;110416;111293;113325;113945;115610;116480
249;Murrieta city, California;103466;103731;104229;105370;106509;107361;108037;109372;111492;112995;114715;116223
250;Palm Bay city, Florida;103190;104006;104138;104131;104819;105329;106237;108160;110289;112217;113854;115552
251;El Monte city, California;113475;113531;113677;114101;114843;115414;115627;115824;115550;115514;115308;115487
252;Carlsbad city, California;105328;105328;105674;107460;108948;110665;111609;112662;113265;114477;115518;115382
252;North Charleston city, South Carolina;97471;97579;97949;99898;101994;104050;106754;108597;109738;110820;113077;115382
254;Temecula city, California;100097;100013;100703;102640;104295;106073;108671;111140;112402;113987;114614;114761
255;Clovis city, California;95631;95980;96386;97557;98588;99631;101904;103828;106353;109316;111824;114584
256;Springfield city, Illinois;116250;116996;117138;117786;117928;117633;117489;117221;116536;115771;114840;114230
257;Meridian city, Idaho;75092;76986;77428;79723;82125;85086;89174;92144;96227;100539;106464;114161
258;Westminster city, Colorado;106114;106135;106434;107739;109083;110422;111517;112420;112984;112961;113227;113166
259;Costa Mesa city, California;109960;110078;110221;111151;111790;112244;112485;112808;112933;113665;113302;113003
260;High Point city, North Carolina;104371;104526;104710;105823;106567;107573;108797;110232;111533;111746;112073;112791
261;Manchester city, New Hampshire;109565;109549;109613;110281;110888;111008;111198;111275;111903;112235;112492;112673
262;Pueblo city, Colorado;106595;106542;106755;107146;107476;107670;107823;108955;110118;111059;111725;112361
263;Lakeland city, Florida;97422;97270;97640;98834;99000;100326;102034;103550;105837;107712;110421;112136
264;Pompano Beach city, Florida;99845;99839;100063;101756;102888;104183;105500;106937;109358;110354;111636;112118
265;West Palm Beach city, Florida;99919;100665;100813;101498;102526;103420;104314;106850;108740;110328;111058;111955
266;Antioch city, California;102372;102745;103080;104193;105565;107351;109071;110308;111088;111494;111578;111502
267;Everett city, Washington;103019;102953;103173;103445;104436;105048;106460;107077;108931;110169;111088;111475
268;Downey city, California;111772;111775;111785;112215;112582;112858;113091;113260;112896;112426;111915;111126
269;Lowell city, Massachusetts;106519;106525;106782;107774;108803;109757;110537;111142;111226;111738;111362;110997
270;Centennial city, Colorado;100377;100635;100989;102508;104249;106634;107438;109120;109735;110388;110814;110937
271;Elgin city, Illinois;108188;108219;108388;109225;109710;110149;111059;111992;112265;112103;111490;110849
272;Richmond city, California;103701;103255;103631;104882;106023;107083;107921;109062;109663;109860;110189;110567
273;Peoria city, Illinois;115007;115150;114980;115426;115798;116646;115955;115183;114227;112618;111449;110417
274;Broken Arrow city, Oklahoma;98850;98837;99246;100199;102179;103603;104944;106842;107884;108395;109068;110198
275;Miami Gardens city, Florida;107167;107163;107516;108859;110056;110842;110943;111561;111884;112220;111144;110001
276;Billings city, Montana;104170;104284;104509;105458;106765;108561;108434;109599;109620;109797;109444;109577
277;Jurupa Valley city, California;(X);94986;95590;97195;98350;99469;100080;101460;103240;105760;108314;109527
278;Sandy Springs city, Georgia;93853;93826;94275;96677;98882;99377;101371;104789;105578;106634;108846;109452
279;Gresham city, Oregon;105594;105639;106008;107720;108779;109221;110029;110378;111762;111243;109808;109381
280;Lewisville city, Texas;95290;95459;95930;97636;99703;101156;102963;103956;105030;106439;106938;109212
281;Hillsboro city, Oregon;91611;92265;92559;94274;96343;98160;99827;102550;105374;107433;108201;109128
282;San Buenaventura (Ventura) city, California;106433;107217;107435;108306;109002;109339;109535;109668;109893;110093;110731;109106
283;Greeley city, Colorado;92889;92950;93308;94466;95597;96848;99055;101763;104751;106780;107475;108649
284;Inglewood city, California;109673;109649;109658;110501;110866;110954;110840;110693;110271;109907;109038;108151
285;Waterbury city, Connecticut;110366;110309;110350;110074;110019;109733;109524;108993;108453;108277;108123;107568
286;League City city, Texas;83560;83584;84096;86278;88242;90790;94121;97860;101669;104442;106005;107536
287;Santa Maria city, California;99553;99596;99689;100293;101116;102057;103021;104462;105811;106298;107218;107263
288;Tyler city, Texas;96900;96852;97140;98015;98941;99730;101557;102712;103904;104738;105668;106985
289;Davie town, Florida;91992;91950;92315;94455;95776;97599;99179;101229;103255;105136;106131;106306
290;Daly City city, California;101123;101116;101262;102460;103915;104980;105887;106538;106882;106733;106869;106280
291;Boulder city, Colorado;97385;97612;97752;100137;101160;102719;104451;106742;107128;106447;106008;105673
292;Allen city, Texas;84246;84273;84921;87680;89812;92173;94215;98344;99742;101214;103577;105623
293;West Covina city, California;106098;106108;106123;106721;107082;107348;107447;107540;107437;106942;105964;105101
294;Sparks city, Nevada;90264;91117;91237;91616;92406;93317;94561;95759;98068;100048;103979;105006
295;Wichita Falls city, Texas;104553;104682;104790;103966;104628;104948;105208;103892;104075;104325;104356;104683
296;Green Bay city, Wisconsin;104057;103882;103946;104302;104621;104593;104635;104792;104721;104977;104833;104578
297;San Mateo city, California;97207;97195;97383;98518;99816;101323;102695;103509;104357;104389;104885;104430
298;Norwalk city, California;105549;105549;105544;105903;105976;106122;106189;106237;105844;105466;104798;103949
299;Rialto city, California;99171;99103;99329;100563;101278;101547;102031;102485;102896;103234;103232;103526
300;Las Cruces city, New Mexico;97618;97706;98284;100212;101045;101238;101192;101113;101313;101963;102812;103432
301;Chico city, California;86187;86798;86783;87269;87915;88362;89491;90369;91564;93066;94342;103301
302;El Cajon city, California;99478;99584;99823;100795;101537;102303;102789;103230;103527;103468;103041;102708
303;Burbank city, California;103340;103357;103351;103732;104077;104355;104405;104472;104097;104174;103349;102511
304;South Bend city, Indiana;101168;101249;101197;101224;101056;101226;101489;101687;101996;102021;101971;102026
305;Renton city, Washington;90927;91912;92351;94131;95941;97090;98588;100455;101513;101981;101787;101751
306;Vista city, California;93834;93186;93401;94355;95307;96211;96999;99623;100746;100740;100784;101638
307;Davenport city, Iowa;99685;99701;99678;100302;101165;102053;102471;102534;102456;102310;101918;101590
308;Edinburg city, Texas;77100;82018;82504;84796;86263;88355;90342;91780;92776;95427;98036;101170
309;Tuscaloosa city, Alabama;90468;90275;90456;90913;92307;93886;95688;97576;98428;99629;100190;101129
310;Carmel city, Indiana;79191;83887;84508;86508;88566;90947;91569;92998;96114;97400;99143;101068
311;Spokane Valley city, Washington;89755;89745;90047;90665;90659;91240;92569;94163;95652;97570;99308;101060
312;San Angelo city, Texas;93200;93221;93626;94532;95841;97057;98567;99704;99790;99678;100009;101004
313;Vacaville city, California;92428;92422;92557;93225;93660;94023;95394;96224;97994;99604;99949;100670
314;Bend city, Oregon;76639;76660;76663;77575;78617;80906;83526;86277;90665;94557;97620;100421
315;Kenosha city, Wisconsin;99218;99279;99397;99560;99859;99704;99728;99479;99388;99785;99908;99944
316;Boca Raton city, Florida;84392;84409;85158;86460;87646;89689;91276;93498;96427;98236;99351;99805
317;Lee's Summit city, Missouri;91364;91368;91526;91920;92376;92968;93727;94871;96034;97169;98522;99357
318;Nampa city, Idaho;81557;81879;81998;82716;83941;86377;87894;89527;91114;93707;96213;99277
319;Rio Rancho city, New Mexico;87521;87387;87977;89499;90444;91334;91963;93116;94511;96285;97982;99178
320;South Fulton city, Georgia;(X);85589;86142;88696;91019;91757;92494;93516;95264;96078;97278;99155
321;Roanoke city, Virginia;97032;96910;96720;96782;98011;98849;99427;99669;99337;98986;99009;99143
322;Beaverton city, Oregon;89803;89725;90100;91569;92558;93279;94714;95863;97738;97824;98775;99037
323;Yuma city, Arizona;93064;90717;91328;94241;93701;92998;93624;94155;95259;96399;97648;98285
324;Lawrence city, Kansas;87643;87918;88232;89301;90118;91348;92881;94207;95655;96637;97187;98193
325;Orem city, Utah;88328;88328;88722;89605;90578;91318;91362;93777;96902;97674;97430;97828
326;Longmont city, Colorado;86270;86327;86440;87691;88903;90221;90623;92280;93269;94637;96536;97261
327;San Marcos city, California;83781;83631;83926;85001;86816;89423;92372;93199;94932;95614;96480;96664
328;Albany city, New York;97856;97845;97753;97956;98409;98488;98366;98232;97941;97735;97011;96460
329;Sandy city, Utah;87461;90180;90227;91076;91929;92599;93341;94537;96444;96406;96737;96380
330;Concord city, North Carolina;79066;79389;79571;80725;82134;83416;85395;87490;89763;92164;94192;96341
331;Federal Way city, Washington;89306;89295;89556;90664;91913;92632;93421;95254;97131;97274;96726;96289
332;Hesperia city, California;90173;90100;90279;91168;91568;91777;92071;92653;93251;94473;95013;95750
333;Brockton city, Massachusetts;93810;93767;93809;94117;94050;94361;94858;95425;95441;95682;95723;95708
334;Compton city, California;96455;96404;96442;96933;97350;97600;97634;97639;97281;97047;96348;95605
335;Flint city, Michigan;102434;102266;102035;101256;100233;99479;98617;97823;97110;96460;95926;95538
336;Erie city, Pennsylvania;101786;101738;101719;101511;101290;100532;99714;99030;98211;97214;96298;95508
337;New Bedford city, Massachusetts;95072;95071;95059;94896;94998;95065;95121;95128;95135;95083;95371;95363
338;Fishers city, Indiana;76794;77293;77832;80503;82389;84416;86865;88656;89809;91606;93407;95310
339;Sunrise city, Florida;84439;84306;84548;86303;88582;89757;90661;91928;93668;94274;95219;95166
340;Roswell city, Georgia;88346;88332;88794;90902;93210;93661;93597;93827;94549;94699;94665;94763
341;Menifee city, California;77519;77382;77929;79665;81026;83045;84522;86411;88057;90104;92249;94756
342;Tracy city, California;82922;83423;83620;84302;84727;84872;85713;86953;89181;90701;91818;94740
343;Plantation city, Florida;84955;84883;85331;86874;87928;90051;90968;91904;92767;93824;94019;94580
344;Quincy city, Massachusetts;92271;92262;92457;92544;92973;93470;93685;93766;94130;94322;94403;94470
345;Portsmouth city, Virginia;95535;95526;95451;95748;96480;96075;95829;96336;95165;94838;94750;94398
346;Mission Viejo city, California;93305;93103;93225;94020;94627;96003;96622;96543;96149;95551;94925;94381
347;Chino city, California;77983;78069;78644;79591;79949;80799;84296;85169;87468;89601;91356;94371
348;Lynn city, Massachusetts;90329;90324;90532;90709;91437;92025;92565;93057;93185;93915;94336;94299
349;Edmond city, Oklahoma;81405;81130;81451;82910;84877;86926;88599;90118;91388;91700;92893;94054
350;Dearborn city, Michigan;98153;98146;97849;97173;96878;96065;95973;95488;95052;94708;94379;93932
351;Livonia city, Michigan;96942;96857;96627;96142;95921;95239;95229;94843;94507;94237;94019;93665
352;Yakima city, Washington;91067;91273;91637;92605;92654;92713;92790;92953;93429;93500;93548;93637
353;South Gate city, California;94396;94412;94434;94591;94577;94674;94741;95597;95245;94848;94135;93444
354;Greenville city, North Carolina;84554;84711;85096;86269;87625;88847;89242;90499;90966;92008;92689;93400
355;Lawton city, Oklahoma;96867;96867;97849;98208;98415;96977;96660;95965;94117;94009;92945;93025
356;Kirkland city, Washington;48787;80585;80866;82036;83358;84455;85971;87312;87990;89010;89909;93010
357;Asheville city, North Carolina;83393;83420;83459;84457;85321;86355;87837;89374;91123;91748;92630;92870
358;Deltona city, Florida;85182;85131;85096;84979;85139;85583;86295;87728;89314;90586;91718;92757
359;Redding city, California;89861;89857;89895;90180;90397;90773;91120;90963;91203;91525;91606;92590
360;Bellingham city, Washington;80885;81205;81297;81859;82299;82593;83386;84998;86954;89031;90464;92314
361;Suffolk city, Virginia;84585;84565;84813;84750;85251;85751;86882;88079;89194;90108;90975;92108
362;Indio city, California;76036;79166;79665;81046;82250;83358;85127;86917;88196;89438;90970;91765
363;Mount Pleasant town, South Carolina;67843;68360;68509;69807;72172;74906;77937;81617;84476;87295;89869;91684
364;Carson city, California;91714;91711;91599;91690;92162;92535;92684;92752;92572;92193;91626;91394
365;Santa Barbara city, California;88410;88380;88468;88605;89285;90082;90815;91275;91518;91517;91203;91364
366;Conroe city, Texas;56207;65392;65731;67352;69662;70676;73779;76322;82068;84809;87578;91079
367;Westminster city, California;89701;89619;89772;90710;91223;91624;91555;91582;91510;91176;90742;90643
368;Santa Monica city, California;89736;89742;89759;90476;91327;92050;92087;92422;92176;91747;91106;90401
369;New Braunfels city, Texas;57740;57676;58059;59319;60885;63025;65902;70133;73351;78902;84495;90209
370;Livermore city, California;80968;81426;81599;82589;83831;85448;87017;88248;89572;90137;90253;90189
371;Palm Coast city, Florida;75180;75199;75499;76641;77363;78409;80027;81938;84155;86146;87660;89800
372;St. George city, Utah;72897;72759;72837;73789;75010;76275;77942;79574;81696;84547;87113;89587
373;Fall River city, Massachusetts;88857;88865;88882;88827;88852;88992;89148;89258;89287;89298;89630;89541
374;Nashua city, New Hampshire;86494;86475;86567;86809;86927;87324;87651;88271;88648;88990;88871;89355
375;Champaign city, Illinois;81055;81246;81405;82330;83202;84112;84953;86218;87244;87839;87994;88909
376;Miami Beach city, Florida;87779;87380;87722;88713;89566;90152;90184;90570;90652;90642;89808;88885
377;Norwalk city, Connecticut;85603;85612;85956;86611;87257;87728;88023;88248;88441;88357;89061;88816
378;San Leandro city, California;84950;84977;85119;85921;86976;88074;89195;90538;90706;90418;89713;88815
379;O'Fallon city, Missouri;79329;79597;79964;81184;82136;83136;84221;85061;86449;87523;88364;88673
380;Newton city, Massachusetts;85146;85089;85373;85827;87029;87479;88269;88588;88569;88836;88641;88414
381;Reading city, Pennsylvania;88082;87994;88040;88195;88141;88264;88171;88047;88128;88134;88542;88375
382;Avondale city, Arizona;76238;76132;76232;77279;78718;79745;80726;81924;83288;84742;85715;87931
383;Fort Smith city, Arkansas;86209;86266;86291;87205;87624;87385;87131;87677;87561;87834;87720;87891
384;Citrus Heights city, California;83301;83184;83273;83781;84308;84924;85665;86543;87179;87675;87707;87796
385;Ogden city, Utah;82825;82887;83100;83312;83874;84180;84406;85295;86742;87061;87202;87773
386;Fayetteville city, Arkansas;73580;73580;73962;75604;76969;78652;80417;82332;83620;85587;86615;87590
387;Fort Myers city, Florida;62298;62305;62503;63818;65504;67802;70449;73470;76752;80015;82229;87103
388;Goodyear city, Arizona;65275;65261;65502;66589;67822;70392;72346;74815;77412;79945;82873;86840
389;Bryan city, Texas;76201;76226;76517;77196;77832;78939;80667;82052;83171;84188;84817;86276
390;Waukegan city, Illinois;89078;89115;89167;88998;88799;88897;88791;88369;88157;87615;86680;86075
391;Hawthorne city, California;84293;84290;84295;84922;85359;85863;86740;87669;87685;87308;86671;86068
392;Redwood City city, California;76815;76817;77010;77970;79188;81034;82741;85274;85293;86394;86105;85925
393;Hoover city, Alabama;81619;80823;80953;81617;82952;83581;84005;84592;84895;85235;85517;85768
394;Bloomington city, Indiana;80405;80293;80612;81497;82160;82457;83162;83596;84387;84837;85139;85755
395;Duluth city, Minnesota;86265;86266;86191;86239;86162;86045;86095;85985;86084;85979;85856;85618
396;Lake Forest city, California;77264;77445;77552;78299;78727;79112;79678;81964;83019;83878;85381;85531
397;Hemet city, California;78657;78630;79090;80226;81033;81718;82541;83305;84121;84809;85148;85334
398;Whittier city, California;85331;85313;85319;85633;85968;86326;86482;86705;86600;86326;85791;85098
399;Clifton city, New Jersey;84136;84117;84169;84690;84695;84898;85141;85240;85192;85267;85251;85052
400;Largo city, Florida;77648;79439;79372;79480;79738;80422;80852;81903;84088;84686;84937;84948
401;Bloomington city, Minnesota;82893;82893;83036;83937;84867;85078;85052;85190;85459;85588;85474;84943
402;Danbury city, Connecticut;80893;80893;81308;82085;82777;83577;83681;84200;84927;84616;84675;84694
403;Santa Fe city, New Mexico;67947;80871;81012;81706;82144;82584;82824;83117;83515;83954;84211;84683
404;Johns Creek city, Georgia;76728;76638;77090;79218;81852;82455;82743;82980;83930;84282;84320;84579
405;Newport Beach city, California;85186;85211;85329;86073;86522;86877;86688;86585;86510;85740;85074;84534
406;Kennewick city, Washington;73917;73994;74447;75585;75930;76579;77339;78724;80081;81621;82696;84347
407;Mission city, Texas;77058;77695;78118;79728;80920;81486;82167;82823;83257;83576;83958;84331
408;Milpitas city, California;66790;66820;66729;67124;68862;69944;73560;77485;77829;77874;80208;84196
409;Troy city, Michigan;80980;80972;81020;81649;82271;83007;83399;83496;84092;84187;84111;84092
410;Chino Hills city, California;74799;74792;74963;75639;76042;76285;76509;77826;78452;80115;83239;83853
411;Alhambra city, California;83089;83119;83160;83594;84120;84337;84786;84843;85221;84878;84373;83750
412;Merced city, California;78958;78958;79131;79705;80231;80703;81120;81775;82232;82589;83113;83676
413;Trenton city, New Jersey;84913;84959;85004;84854;84631;84503;84042;83519;83313;83497;83604;83203
414;Franklin city, Tennessee;62487;62569;62820;64357;66359;68876;70620;72573;74695;78265;81027;83097
415;Medford city, Oregon;74907;74992;75043;75617;76153;76840;77763;78990;80174;81191;82333;83072
416;Melbourne city, Florida;76068;76217;76363;76537;76854;77393;78276;79323;80656;81822;82603;83029
417;Manteca city, California;67096;67348;67733;69244;70884;71761;73157;75088;76831;79079;81603;83028
418;Mountain View city, California;74066;74008;74236;75108;76507;77955;79150;80345;80821;81189;83168;82739
419;Sioux City city, Iowa;82684;82693;82858;83096;82689;82608;82534;82669;82748;82234;82380;82651
420;Lynchburg city, Virginia;75568;75534;75548;76584;77269;77940;78141;79134;79710;80523;81309;82168
421;Buena Park city, California;80530;80619;80792;81553;82045;82717;82621;82770;82988;82619;82187;81788
422;Pleasanton city, California;70285;70280;70381;71133;72098;74026;77454;79265;82330;82831;82357;81777
423;Longview city, Texas;80455;80423;80565;81024;81190;81249;81253;81717;81378;80980;81191;81631
424;Westland city, Michigan;84094;84150;83959;83518;83334;82659;82628;82321;82115;81940;81752;81511
425;Auburn city, Washington;70180;70301;70560;71748;73474;74924;76198;77479;78725;81333;81789;81464
426;Cranston city, Rhode Island;80387;80627;80757;80881;81066;81033;81248;81306;81221;81022;81335;81456
427;Somerville city, Massachusetts;75754;75701;75877;76710;77620;78573;78991;79715;80936;81204;81357;81360
428;Folsom city, California;72203;72147;72110;72542;73042;72782;74950;75935;76999;77798;78842;81328
429;Springdale city, Arkansas;69797;70800;71129;72453;73712;75121;76238;77524;78737;79819;80907;81125
430;Deerfield Beach city, Florida;75018;75008;75178;76504;77395;78002;78565;79334;79972;80525;80666;81066
431;Warwick city, Rhode Island;82672;82689;82643;82049;81700;81548;81710;81142;81027;80820;80966;81004
432;Cicero town, Illinois;83891;84241;84267;84438;84569;84601;84397;83884;83219;82399;81477;80796
433;Farmington Hills city, Michigan;79740;79725;79761;80345;80922;81490;81744;81536;81560;81426;80939;80612
434;Brooklyn Park city, Minnesota;75781;75776;75963;76883;77905;78471;78816;79256;79871;80322;80524;80389
435;Lawrence city, Massachusetts;76377;76343;76551;77260;77910;78382;79182;79699;79818;80003;80112;80028
436;Plymouth city, Minnesota;70576;70591;70715;71703;73104;74096;75176;76034;77341;78128;79345;79768
437;Buckeye city, Arizona;50876;50851;51350;52486;54389;56603;59100;61633;64641;68534;74339;79620
438;Georgetown city, Texas;47400;47483;48012;50310;52483;54831;58974;63533;67028;70640;74275;79604
439;Cedar Park city, Texas;48937;55117;55777;58840;61496;64800;67161;69556;72545;75559;76903;79462
440;Tustin city, California;75540;75317;75472;76227;77575;78122;80138;80088;80245;80121;79578;79348
441;Lakewood city, California;80048;80086;80079;80413;80672;80883;80927;80951;80895;80510;79907;79307
442;Perris city, California;68386;68564;69000;70426;71229;72295;73485;74613;76046;77563;78903;79291
443;Flower Mound town, Texas;64669;64675;64864;65982;67764;68375;69525;70985;73533;76700;77562;79135
444;Pharr city, Texas;70400;70457;70778;72142;73327;74165;75348;76369;77363;78649;78925;79112
445;Loveland city, Colorado;66859;66992;67157;69321;70384;71337;72514;74886;76399;76880;77752;78877
446;Boynton Beach city, Florida;68217;68293;68411;68905;70049;71305;73155;74005;75877;77711;77949;78679
447;New Rochelle city, New York;77062;77115;77233;77701;78328;79265;79342;79419;79455;79084;78822;78557
448;Temple city, Texas;66102;66082;66614;67124;68756;69544;70199;71786;73003;74377;76165;78439
449;Lake Charles city, Louisiana;71993;72398;72531;72873;73665;73886;74513;75685;76462;77586;78266;78396
450;Jonesboro city, Arkansas;67263;67295;67548;68998;70440;71604;72303;73763;74797;75938;77234;78394
451;Napa city, California;76915;77088;77185;77679;78168;78728;79384;79636;79616;79083;78946;78130
452;Parma city, Ohio;81601;81589;81456;80961;80623;80453;80166;80037;79627;79103;78622;78103
453;Layton city, Utah;67311;67529;67813;68479;68899;70978;72360;73929;75482;76447;77181;78014
454;Alameda city, California;73812;73812;73946;74692;75637;76479;77509;78459;79091;79037;78344;77624
455;Warner Robins city, Georgia;66588;69596;70047;71523;72522;73253;73859;73991;74950;75394;76365;77617
456;Rapid City city, South Dakota;67956;68994;69154;69587;70739;71730;72995;73370;74116;75237;76170;77503
457;Bloomington city, Illinois;76610;76724;76848;77308;78020;79269;78901;78414;78343;78134;77804;77330
458;Gastonia city, North Carolina;71741;71720;71707;71871;72503;72789;73183;74009;74963;76307;76885;77273
459;Baytown city, Texas;71802;71605;71757;72500;73311;75334;75926;76286;76369;76693;76592;77192
460;Upland city, California;73732;73718;73884;74465;74933;75188;75542;75970;76374;76778;76833;77140
461;Racine city, Wisconsin;78860;78556;78460;78170;77904;77782;77607;77290;77155;77188;77075;76760
462;Scranton city, Pennsylvania;76089;76083;76079;75926;76024;75831;75443;77149;77235;77214;77017;76653
463;South Jordan city, Utah;50418;50473;51301;53309;55842;59142;62446;66034;68545;70929;73837;76598
464;Bellflower city, California;76616;76625;76624;76939;77202;77404;77532;77794;77581;77326;76906;76435
465;Kalamazoo city, Michigan;74262;74263;74334;74697;75545;75792;76099;75820;75826;75803;76483;76200
466;San Ramon city, California;72148;71412;71585;72174;72850;73560;74329;75138;75703;75795;75851;75995
467;Bethlehem city, Pennsylvania;74982;74972;74979;75061;75040;74852;74966;74966;75273;75546;75742;75815
468;Wyoming city, Michigan;72125;72117;72131;72729;73509;74307;74986;75298;75685;76056;75839;75667
469;Hammond city, Indiana;80830;80825;80718;80220;79648;79009;78586;77688;77151;76489;75877;75522
470;Missoula city, Montana;66788;67358;67466;68078;68877;69487;70227;71292;72779;74077;74882;75516
471;Missouri City city, Texas;67358;66534;66905;67441;68107;69314;71076;73611;74359;74617;74834;75457
472;Pasco city, Washington;59781;62163;62928;65539;67673;68398;69500;70330;71514;72810;74485;75432
473;Baldwin Park city, California;75390;75397;75421;75750;76183;76364;76375;76427;76219;75948;75572;75251
474;Iowa City city, Iowa;67862;67961;68050;69201;70182;71454;72831;73497;74587;75690;75696;75130
475;Rancho Cordova city, California;64776;64804;65067;65970;66725;67722;69389;70640;72162;73398;74478;75087
476;Rock Hill city, South Carolina;66154;66878;66879;67593;68131;68788;69690;71183;72460;73414;74458;75048
477;Flagstaff city, Arizona;65870;66006;66088;66071;67913;68090;68609;69966;71149;72037;73762;75038
478;Gary city, Indiana;80294;80256;80155;79645;79128;78518;77985;77128;76450;75775;75210;74879
479;St. Joseph city, Missouri;76780;76783;76659;77202;77332;77221;76994;76496;76443;76076;75604;74875
480;Arlington Heights village, Illinois;75101;75185;75252;75528;75918;76116;76145;75987;75795;75473;75116;74760
481;Bolingbrook village, Illinois;73366;73365;73475;73789;73949;73909;74032;74142;74383;75003;75043;74545
482;Rochester Hills city, Michigan;70995;70987;71038;71694;72455;73116;73363;73627;73849;74517;74544;74516
483;Framingham city, Massachusetts;(X);68323;68665;69656;70061;70411;70786;70938;71459;71784;72909;74416
484;Union City city, California;69516;69531;69630;70597;71642;72552;73481;74343;75465;75227;74560;74107
485;Appleton city, Wisconsin;72623;72675;72704;72921;73128;73591;74001;74151;74392;74524;74378;74098
486;Turlock city, California;68549;68712;68848;69251;69719;70261;70868;71776;72578;73241;73396;73631
487;Camden city, New Jersey;77344;76866;76805;77049;76711;76283;75673;75204;73818;73728;73725;73562
488;Bismarck city, North Dakota;61272;61324;61589;62768;64772;67127;69011;71413;72580;73141;73229;73529
489;Evanston city, Illinois;74486;74483;74585;75142;75723;75984;75994;75619;75243;74617;73990;73473
490;Apple Valley town, California;69135;69146;69307;70025;70381;70706;71141;71747;72262;72871;73349;73453
491;Schaumburg village, Illinois;74227;74233;74294;74551;74775;74911;74903;74651;74592;74039;73388;72887
492;Woodbury city, Minnesota;61961;61963;62250;63559;64472;65523;66625;67445;68495;69520;71231;72828
493;Kissimmee city, Florida;59682;59558;59694;61323;63422;64921;66509;68633;69407;71446;73751;72717
494;Southfield city, Michigan;71739;71715;71760;72248;72711;73226;73439;73389;73465;73386;72976;72689
495;Maple Grove city, Minnesota;61567;61548;61778;63196;64504;65442;66966;68405;69678;70812;71711;72622
496;Pittsburg city, California;63264;63259;63522;64546;65523;66646;67974;69260;70798;72000;72450;72588
497;New Britain city, Connecticut;73206;73203;73251;73274;73221;73050;73048;73213;72816;72626;72591;72495
498;Jacksonville city, North Carolina;70145;70327;78089;75194;76365;75681;74217;74306;72745;72800;72775;72436
499;Mansfield city, Texas;56368;56654;57088;58331;59682;61228;62605;64705;66253;68841;70796;72419
500;Waukesha city, Wisconsin;70718;71223;71215;71224;71717;71775;72009;72375;72405;72516;72453;72299
501;Frederick city, Maryland;65239;65289;65455;65954;66402;66827;68275;69372;69881;70947;71945;72244
502;Albany city, Georgia;77434;77436;77420;77893;77537;76416;75940;74891;73957;73252;73219;72130
503;Pawtucket city, Rhode Island;71148;71153;71267;71406;71582;71623;71693;71755;71775;71600;71973;72117
504;Redmond city, Washington;54144;54511;54731;55674;56741;57606;59416;60770;62794;64872;67436;71929
505;Lauderhill city, Florida;66887;66936;67084;68246;69012;69531;70110;70901;71474;71915;71924;71868
506;Lafayette city, Indiana;67140;68864;68925;69916;70163;70976;71012;71143;71960;72110;72233;71721
507;Gulfport city, Mississippi;67793;67785;67904;68865;69782;70801;71173;71346;71518;71945;71771;71705
508;Redlands city, California;68747;68679;68807;69320;69637;69800;70209;70625;71027;71342;71416;71513
509;Weston city, Florida;65333;65419;65591;66840;67702;68333;68926;69687;70324;70901;71030;71166
510;St. Charles city, Missouri;65794;66218;66396;66633;66986;68151;68568;69120;69402;70390;70807;71028
511;Decatur city, Illinois;76122;76131;76105;75922;75449;74955;74155;73265;72510;71790;71136;70746
512;North Port city, Florida;57357;57320;57389;57726;58416;59113;60323;62244;64371;66272;68438;70724
