table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
513;North Richland Hills city, Texas;63343;63341;63479;64256;65254;67239;68424;69145;69973;70516;70686;70670
514;Greenville city, South Carolina;58409;59280;59414;59810;60171;60625;61505;63606;67134;68474;68849;70635
515;Bowling Green city, Kentucky;58067;59407;59727;60357;61294;62698;63528;64940;66087;67866;68633;70543
516;Broomfield city, Colorado;55889;55861;56226;57493;58971;60149;61764;64866;66513;68263;69324;70465
517;Canton city, Ohio;73007;73403;73427;73181;73147;72915;72634;72173;71629;71156;70752;70447
518;Marysville city, Washington;60020;60013;60193;61243;62297;63135;64919;66558;67586;68897;69606;70298
519;Walnut Creek city, California;64173;64157;64314;64827;65529;66812;67500;68747;69235;69645;69843;70166
519;Wilmington city, Delaware;70851;70875;70764;70868;71045;71201;71201;71131;70919;70658;70457;70166
521;Camarillo city, California;65201;65156;65257;65515;65656;65882;66517;67171;67141;67403;68883;69888
522;Lynwood city, California;69772;69763;69595;69661;70576;71146;71193;71397;70979;70685;70285;69887
523;Lehi city, Utah;47407;47769;48170;49677;51385;55089;57000;59034;61690;63674;65958;69724
524;Passaic city, New Jersey;69781;69811;69861;70144;69966;70081;70240;70237;70130;70123;69932;69703
525;Homestead city, Florida;60512;60748;61034;62214;63148;64246;65290;66192;68045;69124;69254;69523
526;Delray Beach city, Florida;60522;60611;60801;61495;62267;64177;65004;66203;67546;68708;69176;69451
527;Davis city, California;65622;65639;65584;65657;65781;66213;66545;67367;68028;68802;69220;69413
528;Lake Elsinore city, California;51821;53313;53627;55078;56044;57711;60111;61955;63807;66066;68051;69283
529;Daytona Beach city, Florida;61005;61591;61626;61720;62199;62957;63560;64962;67076;68096;68709;69186
530;Dothan city, Alabama;65496;65922;66097;66619;67212;67666;68122;68295;68287;68293;68337;68941
531;Rocklin city, California;56974;57131;57474;58426;58962;59613;60060;60908;62605;64654;67065;68823
532;Eau Claire city, Wisconsin;65883;66230;66298;66841;67342;67892;67747;67740;68254;68547;68770;68802
533;Rogers city, Arkansas;55964;56109;56361;58226;59666;60663;62086;63584;65236;66605;67635;68669
534;Castle Rock town, Colorado;48231;48251;48586;49693;51017;52657;55154;57175;59284;62297;65000;68484
535;St. Cloud city, Minnesota;65842;65905;65919;65873;65930;66085;66536;67352;67832;68103;68181;68462
536;Bossier City city, Louisiana;61315;61768;62120;63540;65414;66191;67078;68157;68125;68471;68316;68159
537;Rockville city, Maryland;61209;61242;61484;62055;63286;63825;65445;66733;66923;67830;68028;68079
538;Muncie city, Indiana;70085;70206;70193;70406;69757;69710;69606;69121;69148;68854;68115;67999
539;Gaithersburg city, Maryland;59933;59899;60185;61440;63037;65673;66518;67081;67587;67987;68070;67985
540;Union City city, New Jersey;66455;66467;66459;67446;67844;68232;68302;68119;68365;68485;68124;67982
541;West Des Moines city, Iowa;56609;56707;56864;57562;58154;59733;61827;63489;64595;65556;66605;67899
542;South San Francisco city, California;63632;63622;63701;64448;65581;66237;66813;67221;67220;67180;67617;67789
543;Yorba Linda city, California;64234;64167;64390;65610;66282;66803;67359;67527;68033;67895;67589;67644
544;Conway city, Arkansas;58908;58874;59592;61630;62818;63359;64403;64769;65232;65958;67032;67638
545;Lodi city, California;62134;62121;62253;62741;63048;63128;63620;64264;64578;65715;67003;67586
546;Palatine village, Illinois;68557;68551;68611;68886;69170;69378;69427;69302;68953;68506;67942;67482
547;Ankeny city, Iowa;45582;45608;45845;47043;48363;50785;53299;56109;58609;62365;65248;67355
548;Mount Vernon city, New York;67292;67316;67399;67751;67844;68133;68213;68281;68245;67966;67655;67345
549;Rowlett city, Texas;56199;56242;56345;57011;57771;58090;58471;60355;62291;62992;66126;67339
550;Waterloo city, Iowa;68406;68496;68492;68554;68535;68700;68676;68619;68108;67758;67722;67328
551;Lakeville city, Minnesota;55954;56001;56161;56711;57471;58697;59976;60791;61997;63677;65778;67317
552;Alpharetta city, Georgia;57551;57383;57691;59141;61577;61937;62693;63337;65411;65734;66257;67213
553;Jackson city, Tennessee;65211;66847;66814;66726;67018;67467;67112;66760;66718;66748;66952;67191
554;Yuba City city, California;64925;65634;65631;65364;65283;65538;65757;66134;66218;66564;66695;67010
555;Oshkosh city, Wisconsin;66083;66346;66328;66360;66862;66943;66796;66684;66634;66705;66802;67004
556;Victoria city, Texas;62592;62624;62675;63113;64244;64964;65904;67154;67346;67019;66835;66916
557;Johnson City city, Tennessee;63152;63383;63528;63951;64370;64706;65106;65497;66140;66164;66759;66906
558;Redondo Beach city, California;66748;66931;66933;67192;67438;67629;67673;67771;67809;67511;67206;66749
559;Tamarac city, Florida;60427;60778;60921;62019;62752;63262;63731;64499;65517;66148;66447;66721
560;Laguna Niguel city, California;62979;62989;63119;63774;64134;64381;65079;65396;65145;66011;66079;66385
561;Eagan city, Minnesota;64206;64150;64202;64488;64878;65403;65996;66212;66328;66594;66472;66372
562;Kenner city, Louisiana;66702;66631;66635;66814;66781;66836;66776;66896;67083;66933;66584;66340
563;Auburn city, Alabama;53380;53439;53785;54950;57149;58816;60372;61754;62773;63927;65495;66259
564;Ames city, Iowa;58965;59035;59098;60440;61427;63053;64773;65685;65915;66301;66001;66258
565;Portland city, Maine;66194;66191;66088;66183;66216;66391;66832;66825;66911;66646;66405;66215
566;North Little Rock city, Arkansas;62304;62350;62436;63482;64645;65929;66656;66388;66141;65855;66022;65903
567;Sammamish city, Washington;45780;57449;57656;58726;59973;61006;62174;63266;63817;64929;65495;65892
568;Madera city, California;61416;61513;61603;61907;62382;62749;63230;63690;64187;64941;65440;65860
569;Shawnee city, Kansas;62209;62203;62311;63011;63559;64243;64449;64994;65376;65556;65933;65807
570;Jupiter town, Florida;55156;55312;55468;56214;57203;58501;60772;62810;64066;64888;65377;65791
571;Doral city, Florida;45704;45712;45953;47024;47877;50052;53643;55482;57704;60222;60762;65741
572;Blaine city, Minnesota;57186;57179;57409;58194;59438;60500;61386;62360;63191;64288;65082;65607
573;Tulare city, California;59278;59293;59432;59789;60625;60905;61444;61915;62538;63486;64274;65496
574;Youngstown city, Ohio;66982;66946;66876;66556;66056;65470;65142;64687;64335;64540;64860;65469
575;Wellington village, Florida;56508;56697;56830;57506;58593;60303;61507;62605;64204;64793;65058;65398
576;Pflugerville city, Texas;46936;48370;48717;50273;51988;53813;54714;57241;59500;63260;64172;65380
577;Palo Alto city, California;64403;64387;64535;65345;66089;66613;66848;66782;67353;66960;66258;65364
578;Schenectady city, New York;66135;66157;66151;66098;66087;65829;65846;65538;65076;65300;65345;65273
579;Harlingen city, Texas;64849;64943;65102;65638;65786;65674;65510;65208;65229;65153;64996;65022
580;Bayonne city, New Jersey;63024;63015;63050;63945;64252;64736;65369;65290;65315;65333;64677;64897
581;Eden Prairie city, Minnesota;60797;60797;60899;61667;62392;62673;63341;63608;64001;64193;64263;64893
582;Port Orange city, Florida;56048;56628;56627;56727;56978;57508;58983;60145;61454;63062;64055;64842
583;Dublin city, California;46036;46036;45903;46804;48700;52027;54554;57545;59579;60797;63423;64826
584;San Marcos city, Texas;44894;45139;45267;47687;50010;54403;58983;60446;61726;63526;63688;64776
585;Noblesville city, Indiana;51969;52374;52909;54248;55542;56849;57725;58741;60304;61874;63303;64668
586;Santa Cruz city, California;59946;59944;60578;61434;61954;62731;63172;64082;64396;64815;64643;64608
587;Janesville city, Wisconsin;63575;63658;63623;63439;63509;63675;63853;63880;64023;64297;64483;64575
588;San Clemente city, California;63522;63500;63605;64255;64612;64845;64947;65142;65185;64973;64699;64558
589;Brentwood city, California;51481;51627;51813;52716;53508;54916;56854;58796;60571;62265;63760;64474
590;East Orange city, New Jersey;64270;64169;64150;64332;64172;64221;64262;64438;64426;64306;64258;64367
591;Cheyenne city, Wyoming;59466;59552;59778;60177;61438;62122;62279;62905;63451;63520;63835;64235
592;Eastvale city, California;(X);53712;54054;54966;55627;56247;57386;59231;60670;62309;63815;64157
593;Chapel Hill town, North Carolina;57233;57221;57406;57370;58650;58860;59120;59046;59654;58918;63367;64051
594;Haverhill city, Massachusetts;60879;60878;60999;61505;61860;62272;62605;62861;63200;63664;63926;64014
595;Lorain city, Ohio;64097;64099;64076;63940;63756;63735;63773;63662;63729;63774;63984;63855
596;Grand Junction city, Colorado;58566;59034;58846;59475;59660;59809;59643;60389;61236;61995;63131;63597
597;Springfield city, Oregon;59403;59413;59445;59859;59974;60019;60164;60436;61531;62373;62806;63230
598;Coon Rapids city, Minnesota;61476;61485;61539;61561;61958;62064;62163;62264;62374;62479;62491;62998
599;Idaho Falls city, Idaho;56813;57833;57995;58518;58860;59034;59320;59858;60797;61768;62023;62888
600;North Miami city, Florida;58786;60134;60322;60991;61553;61946;61903;62040;62018;61939;63481;62822
601;Encinitas city, California;59518;59526;59684;60264;60890;61555;62023;62590;62921;62884;62750;62709
602;Skokie village, Illinois;64784;64845;64889;65087;65247;65328;65223;64888;64437;63847;63171;62700
603;Leander city, Texas;26521;27288;27709;29120;30636;32774;35280;39019;43788;49792;55924;62608
604;Waltham city, Massachusetts;60632;60638;60889;61382;62047;62327;63114;63003;62939;62822;62563;62495
605;Council Bluffs city, Iowa;62230;62226;62370;62502;62160;62117;62397;62556;62458;62377;62221;62166
606;Hamilton city, Ohio;62477;62291;62345;62329;62234;62299;62414;62345;62250;62114;62132;62082
607;Moore city, Oklahoma;55081;55082;55425;56724;57830;57800;58462;59593;60479;60973;61452;62055
608;Pico Rivera city, California;62942;62958;62960;63221;63430;63597;63637;63670;63438;63133;62677;62027
609;Montebello city, California;62500;62488;62490;62903;63123;63279;63322;63379;63134;62823;62440;61954
610;Millcreek city, Utah;(X);58750;58853;59397;59853;60253;60176;60147;60354;60718;61060;61450
611;Sanford city, Florida;53570;53933;53971;54377;54937;56283;57643;58289;58968;59542;60107;61448
612;National City city, California;58582;58560;58624;59042;59369;59776;60132;60721;60967;61083;61272;61394
613;Burnsville city, Minnesota;60306;60286;60391;60649;60864;61144;61314;61203;61316;61431;61162;61339
614;Coconut Creek city, Florida;52909;53042;53183;54324;55131;56920;58502;59202;59815;61070;61205;61248
615;Lakewood city, Washington;58163;57532;57600;57945;58110;58144;58580;58885;59747;60316;60511;61037
616;Taylor city, Michigan;63131;63131;62982;62631;62465;61957;62068;61777;61580;61404;61163;60922
617;Novi city, Michigan;55224;55232;55287;56055;57043;58124;58634;58913;59598;59948;60787;60896
618;Marietta city, Georgia;56579;56486;56708;57348;58167;58819;59547;59845;60679;60679;60647;60867
619;Ocala city, Florida;56315;56568;56565;56707;56783;56804;57178;57719;58460;59091;60274;60786
620;Terre Haute city, Indiana;60785;60785;60787;60993;61176;60921;60785;60596;60683;60816;60775;60622
621;Woodland city, California;55468;55553;55615;55786;56272;56713;57328;58385;59098;59923;60474;60548
622;Petaluma city, California;57941;57968;58037;58236;58728;59337;59753;60295;60468;60682;61826;60520
623;La Habra city, California;60239;59016;59108;59658;59970;60224;60421;60473;60292;60898;60778;60513
624;Malden city, Massachusetts;59450;59536;59691;60131;60591;60938;61217;61383;61276;61079;60735;60470
625;Commerce City city, Colorado;45913;45864;46128;47507;48504;49717;51468;53161;54523;55925;58324;60336
626;Owensboro city, Kentucky;57265;57482;57511;57755;58139;58357;58415;59031;59305;59523;59745;60131
627;Bristol city, Connecticut;60477;60499;60502;60599;60658;60558;60588;60524;60304;60131;60101;59947
628;West Allis city, Wisconsin;60411;60401;60418;60492;60695;60803;60765;60709;60331;59845;59410;59890
629;Taylorsville city, Utah;58652;58691;58754;59761;60210;60530;60361;60290;60401;60057;60005;59805
630;Utica city, New York;62235;62241;62209;62036;61886;61680;61289;60912;60618;60374;60040;59750
631;Monterey Park city, California;60269;60225;60218;60460;60645;60796;60832;60908;60830;60668;60198;59669
632;Bonita Springs city, Florida;43914;43930;44075;45039;46342;47664;49367;51850;54400;56175;57398;59637
633;Porterville city, California;54165;58104;58197;58540;58708;58891;58995;59721;59699;59745;59685;59599
634;Greenwood city, Indiana;49791;51116;51159;52031;52800;53658;54452;55272;56352;57356;58701;59458
635;Bartlett city, Tennessee;54613;56941;57030;57388;58224;58231;58353;58665;58887;59101;59403;59440
636;Bradenton city, Florida;49546;49273;49310;49642;50207;51175;52253;53838;55048;56686;57601;59439
636;Vineland city, New Jersey;60724;60734;60820;60984;60921;60874;60887;60583;60312;59862;59856;59439
638;Pontiac city, Michigan;59515;59695;59687;59913;60299;60448;60466;60260;60224;60123;59741;59438
639;Meriden city, Connecticut;60868;60825;60832;60699;60672;60491;60384;60063;59708;59646;59566;59395
640;Gardena city, California;58829;58829;58835;59114;59368;59788;59843;59946;59873;59871;59540;59329
641;Apex town, North Carolina;37476;37727;37991;38999;40659;42388;44064;45652;47543;50524;53859;59300
642;Royal Oak city, Michigan;57236;57232;57260;57697;58139;58562;58763;58750;59226;59374;59356;59277
643;Cupertino city, California;58302;58559;58689;59172;59769;60198;60592;60519;60900;60588;60004;59276
644;Lancaster city, Pennsylvania;59322;59263;59277;59417;59406;59397;59411;59446;59486;59494;59407;59265
645;La Mesa city, California;57065;57016;57149;57644;58099;58556;58855;59697;59751;59722;59389;59249
646;Gilroy city, California;48821;48879;49006;49700;50718;51893;52538;53259;55369;57549;58588;59032
647;St. Clair Shores city, Michigan;59715;59765;59767;59799;59986;60183;60085;59912;59788;59657;59282;58984
648;Des Plaines city, Illinois;58364;58383;58454;58725;58978;59112;59104;58811;58430;58078;58854;58899
649;Springfield city, Ohio;60608;60563;60531;60267;60079;59872;59730;59449;58906;59168;59263;58877
650;Corvallis city, Oregon;54462;54494;54401;54730;55139;54710;55517;56375;57327;58546;58969;58856
651;Margate city, Florida;53284;53120;53242;54190;54820;55256;55664;56741;57832;58200;58495;58796
652;Bowie city, Maryland;54727;55296;55458;56000;56574;57102;57750;58225;58431;58563;58610;58643
653;Casa Grande city, Arizona;48571;48564;48955;48904;49453;49777;51362;52687;54247;55695;57019;58632
654;Caldwell city, Idaho;46237;46346;46535;47271;47708;48964;50122;51543;53106;54738;56478;58481
655;San Rafael city, California;57713;57698;57797;58232;58448;58995;59130;59074;58918;58801;58704;58440
656;Great Falls city, Montana;58505;59121;59243;59411;59284;59549;59359;59281;58915;58879;58751;58434
657;Sarasota city, Florida;51917;52107;52219;52527;52954;53149;54015;54956;56440;57185;57746;58285
658;Richland city, Washington;48058;48491;48876;50622;51767;52549;53248;54412;55095;56656;57533;58225
659;St. Peters city, Missouri;52575;52595;52796;53414;54062;54825;56012;56742;57159;57179;57123;58212
660;Hendersonville city, Tennessee;51372;51333;51485;52283;52919;53824;54851;55597;56563;57560;57634;58113
661;White Plains city, New York;56853;56866;56946;57183;57255;57647;57733;58020;58000;58388;58141;58109
662;Huntersville town, North Carolina;46773;46909;47103;48184;49424;50673;51728;52973;55273;56385;57212;58098
663;Santee city, California;53413;53420;53640;54523;55381;56151;56828;57471;57678;57825;57944;58081
664;Kokomo city, Indiana;45468;58187;58193;58208;58212;58204;58158;57980;57762;57858;57922;58020
665;Arcadia city, California;56364;56303;56322;56594;56801;57215;57513;57835;58238;58374;58385;57939
666;Casper city, Wyoming;55316;55316;55261;56092;57684;59487;59673;60014;58933;57851;57515;57931
667;Dubuque city, Iowa;57637;57605;57689;57916;58165;58491;58573;58566;58248;58299;57975;57882
668;Orland Park village, Illinois;56767;56607;56664;56968;57232;58470;58592;58531;58912;58579;58179;57857
669;Weymouth Town city, Massachusetts;53743;53762;53828;54177;55058;55452;55725;55798;55924;56695;57511;57746
670;Parker town, Colorado;45297;45357;45540;46116;47054;48364;49508;51112;52714;54261;55813;57706
671;Palm Beach Gardens city, Florida;48452;49896;50012;50563;51320;52221;53388;54437;55536;56360;57007;57704
672;Hanford city, California;53967;54436;54463;54612;54524;54741;55086;55608;55663;56383;56971;57703
673;Huntington Park city, California;58114;58125;58125;58334;58524;58739;58908;58933;58701;58476;57998;57509
674;Taunton city, Massachusetts;55874;55826;55851;55876;55990;56109;56659;56838;56939;56982;57365;57464
675;Midwest City city, Oklahoma;54371;54370;54586;55386;56232;56835;57095;57289;57417;57165;57186;57407
676;Medford city, Massachusetts;56173;56280;56400;56824;57255;57399;57551;57792;57820;57772;57554;57341
677;Euless city, Texas;51277;51263;51411;52052;52756;53140;53569;54163;54881;55252;57241;57197
678;Shoreline city, Washington;53007;53031;53180;53762;54459;54802;55249;55592;55687;56521;56557;57027
679;Smyrna city, Georgia;51271;51037;51140;51636;52322;53074;54419;55583;56246;56285;56512;56666
680;Pocatello city, Idaho;54255;54236;54335;54702;54779;54476;54427;54775;54911;55336;55982;56637
681;Valdosta city, Georgia;54518;54764;54977;55787;57156;56088;56309;55818;55846;56054;56428;56457
682;Carson City, Nevada;55274;55269;54981;54676;54312;53726;54082;54068;54147;54532;55202;55916
683;Lake Havasu City city, Arizona;52527;52531;52578;52789;52794;52786;53030;53399;53800;54380;55020;55865
684;Grand Forks city, North Dakota;52838;52920;53040;52770;53576;54914;55811;56535;56729;56754;56637;55839
685;Blue Springs city, Missouri;52575;52593;52657;52754;52977;53149;53462;53998;54387;54861;55126;55829
686;Southaven city, Mississippi;48982;48979;49125;49756;50407;50977;51740;52529;53200;54155;54979;55780
687;Tinley Park village, Illinois;56703;56827;56882;57086;57268;57372;57364;57195;56929;56553;56095;55773
688;Diamond Bar city, California;55544;55568;55588;55854;56087;56233;56279;56429;56581;56334;56106;55720
689;New Brunswick city, New Jersey;55181;54500;54886;55296;55404;55896;55882;56009;56183;56120;55878;55676
690;Lenexa city, Kansas;48190;48216;48292;48865;49351;50279;50924;52430;53028;53557;55349;55625
691;Brookhaven city, Georgia;(X);49640;49688;50147;50942;51479;51990;52693;53148;53630;54029;55554
692;Novato city, California;51904;51869;51970;52680;53221;54142;54856;55406;55913;55701;55640;55516
693;Tigard city, Oregon;48035;48205;48326;49244;49818;50361;50674;51060;51978;53373;54652;55514
694;Highland city, California;53104;53106;53218;53671;53939;54150;54325;54553;54752;55198;55311;55417
695;Fountain Valley city, California;55313;55360;55470;55950;56318;56601;56671;56643;56423;56051;55663;55357
696;Dearborn Heights city, Michigan;57774;57774;57640;57278;57115;56653;56596;56322;56097;55873;55627;55353
697;Albany city, Oregon;50158;50142;50327;50946;51017;50937;51343;51659;52716;53524;54518;55338
698;Grapevine city, Texas;46334;46336;46610;47102;48427;50117;50772;51430;52055;53974;53809;55281
699;Apple Valley city, Minnesota;49084;49092;49146;49492;49721;49925;50195;50950;51938;52390;54065;55135
700;Chicopee city, Massachusetts;55298;55307;55306;55630;55840;55923;56274;55820;55342;55336;55424;55126
701;Hempstead village, New York;53891;54018;54081;54187;54982;55476;55488;55407;55367;55363;55246;55113
702;Oak Lawn village, Illinois;56690;56690;56732;56924;57078;57170;57106;56825;56456;55983;55430;55022
703;Cathedral City city, California;51200;51230;51452;52077;52478;52846;53187;53516;53943;54413;54793;55007
704;Bentonville city, Arkansas;35301;35356;35859;37227;38747;40472;42001;44743;47166;49399;51103;54909
705;Stonecrest city, Georgia;(X);50207;50256;50726;51537;52084;52607;53327;54037;54278;54424;54903
706;Kettering city, Ohio;56163;56129;56131;56000;55925;55798;55552;55375;55244;55144;55014;54855
707;Colton city, California;52154;52148;52261;52712;52945;53105;53706;54291;54507;54680;54637;54824
708;Anderson city, Indiana;56129;56082;56065;55798;55441;55465;55252;55020;54985;54898;54883;54765
709;West Haven city, Connecticut;55564;55564;55570;55510;55284;55130;55289;54872;54640;54841;54895;54620
710;Burlington city, North Carolina;49963;51079;51172;51169;51198;51314;51475;51867;52180;53121;53911;54606
711;Manhattan city, Kansas;52281;52158;52526;54148;56597;56101;55685;56513;55241;55124;54983;54604
712;St. Cloud city, Florida;35183;37787;37983;39474;41175;42504;44605;46742;48578;51700;54200;54579
713;Normal town, Illinois;52497;52549;52643;53119;54025;54667;54517;54294;54391;54452;54629;54469
714;Decatur city, Alabama;55683;55786;55814;55916;55837;55465;55269;55027;54729;54437;54364;54445
715;Berwyn city, Illinois;56657;56653;56671;56791;56886;56914;56777;56436;55986;55435;54821;54391
716;Port Arthur city, Texas;53818;54376;54500;54905;54563;54719;54529;55378;55566;55433;54889;54280
717;Kingsport city, Tennessee;48205;52997;52953;52924;52739;52817;52822;52757;52521;53487;54006;54127
718;Minnetonka city, Minnesota;49734;49735;49796;50646;51232;51437;51555;51739;52447;52910;53883;54064
719;Rosemead city, California;53764;53771;53795;54022;54215;54398;54429;54440;54332;54221;54226;54058
720;Paramount city, California;54098;54098;54104;54329;54580;54854;54914;54971;54789;54621;54259;53955
721;Rocky Mount city, North Carolina;57477;57695;57680;57401;56735;56300;55880;55003;54992;54634;54232;53922
722;Yucaipa city, California;51367;51347;51474;51954;52280;52546;52730;52981;53186;53496;53557;53921
723;Watsonville city, California;51199;51214;51278;51593;51887;52412;52959;53528;53774;53919;53875;53856
724;Elyria city, Ohio;54533;54526;54487;54322;54162;54115;54078;53917;53865;53781;53797;53757
725;Leesburg town, Virginia;42616;42643;43067;44537;46076;47713;49338;50935;52495;54055;53763;53727
726;Mount Prospect village, Illinois;54167;55037;55082;55264;55417;55602;55770;55528;55156;54675;54116;53719
727;Pinellas Park city, Florida;49079;49553;49532;49944;50202;50532;51410;51989;52615;52940;53157;53637
728;Delano city, California;53041;53044;53130;53620;52403;52331;52447;52495;52568;52877;52921;53573
729;Bellevue city, Nebraska;50137;51520;51634;51858;52407;52786;52706;52956;53291;53398;53494;53544
730;West Sacramento city, California;48744;48744;48842;49106;49528;49978;51637;52431;52933;53304;53601;53519
731;Apopka city, Florida;41542;42194;42407;43765;45103;46238;47796;49109;50486;52277;53557;53447
732;Palm Desert city, California;48445;48449;48684;49251;49775;50357;50916;51552;52077;52794;53129;53275
733;Milford city (balance), Connecticut;51271;51261;51300;51376;51551;51653;51973;52128;52531;52816;53148;53195
734;Little Elm city, Texas;25898;25892;26197;27709;29023;32916;35493;38438;42661;45988;49644;53126
735;Revere city, Massachusetts;51755;51713;51845;52628;53241;53694;53802;53960;53942;54071;53483;53073
736;Peabody city, Massachusetts;51251;51266;51399;51632;51904;52224;52463;52629;52759;52948;53092;53070
737;Wylie city, Texas;41427;41685;42044;43597;44769;45352;46439;47348;48499;49536;51003;53067
738;Harrisonburg city, Virginia;48914;48900;48993;49935;51312;51537;52542;52675;53542;53644;53488;53016
739;DeSoto city, Texas;49047;49043;49344;50196;51216;51587;52046;52612;53088;53533;53254;52988
740;Pensacola city, Florida;51923;52008;52014;51848;52149;52270;52434;52473;52662;52525;52637;52975
741;Olympia city, Washington;46478;46884;47067;47696;48089;48473;49327;49849;50732;51660;52508;52882
742;Edina city, Minnesota;47941;47980;48037;48686;49202;49501;49704;50251;51428;51783;52430;52857
743;Wheaton city, Illinois;52894;53045;53104;53416;53576;53765;53769;53736;53518;53406;53108;52745
744;West New York town, New Jersey;49708;49710;49843;50511;50853;51252;51529;52540;52596;52732;52668;52723
745;Hoboken city, New Jersey;50005;50020;50057;50769;51481;52177;52463;52839;53649;53662;53134;52677
746;Lacey city, Washington;42393;42543;42708;43423;43947;44761;45271;46071;47309;49632;50600;52592
747;Summerville town, South Carolina;43392;42960;43175;43982;44710;45952;47370;49227;50216;51517;51880;52549
748;Coeur d'Alene city, Idaho;44137;44168;44292;45009;45519;46250;47629;48761;49802;50584;51210;52414
749;Oak Park village, Illinois;51878;51878;51896;52013;52099;52254;52138;52405;52060;52149;52173;52381
750;Elkhart city, Indiana;50949;51908;51841;51905;51975;52157;52285;52505;52475;52372;52373;52358
751;Maricopa city, Arizona;43482;43488;43686;43866;44030;44814;45543;46109;46914;48002;50028;52127
752;Kentwood city, Michigan;48707;48701;48732;49186;49752;50352;50861;51352;51742;51781;51829;51898
753;Madison city, Alabama;42938;43192;43556;44304;45189;45929;46636;47170;48158;49207;50491;51593
754;Smyrna town, Tennessee;39974;40401;40568;41407;42128;43517;45731;46941;48515;49910;50748;51586
755;Glendora city, California;50073;50267;50376;50624;50795;51120;51065;51769;51882;51997;51846;51544
756;Logan city, Utah;48174;48203;48448;49041;49094;49057;49048;49769;50621;51019;51334;51542
757;Burien city, Washington;33313;48081;48224;48786;49511;49915;50304;50664;51377;51992;51731;51500
758;Perth Amboy city, New Jersey;50814;50827;50918;51137;51556;51722;51832;51705;51765;51821;51677;51390
759;Herriman city, Utah;21785;21768;22520;23364;24378;26278;28461;30572;35049;39166;44663;51348
760;Grand Island city, Nebraska;48520;48655;48819;49401;49905;50323;50887;50959;51182;51128;51219;51267
761;Placentia city, California;50533;50915;50994;51503;51838;52105;52108;52202;52154;51916;51538;51233
762;La Crosse city, Wisconsin;51320;51343;51376;51225;51962;51885;52145;52023;51830;51718;51491;51227
763;Battle Creek city, Michigan;52347;52401;52315;51991;51871;51788;51776;51556;51453;51275;51105;51093
764;Beaumont city, California;36877;36867;37261;38514;39286;40337;41994;43479;45156;46848;49126;51063
765;Collierville town, Tennessee;43965;45599;45661;45949;46438;47359;48754;48984;49462;50252;50671;51040
766;West Lafayette city, Indiana;29596;41997;42052;42526;43227;43666;44975;46174;47503;47504;49019;50996
767;Florissant city, Missouri;52158;52260;52235;52430;52379;52265;52172;52072;51652;51380;51147;50952
768;Hoffman Estates village, Illinois;51895;51891;51942;52147;52301;52396;52342;52098;51828;51463;51111;50932
769;Joplin city, Missouri;50150;50798;50911;48350;48483;48896;49402;49780;50192;50469;50604;50925
770;Queen Creek town, Arizona;26361;26736;27058;27602;28148;30424;33011;35534;38850;43227;47123;50890
771;Aliso Viejo city, California;47823;47674;47801;48474;49038;49538;49542;49499;50858;50982;51206;50887
772;Kannapolis city, North Carolina;42625;42621;42699;43169;43769;44385;45310;46311;47577;48774;49770;50841
773;Methuen Town city, Massachusetts;47255;47328;47445;47798;48129;48706;49384;49797;49953;50308;50565;50706
774;Galveston city, Texas;47743;47741;47793;47555;48100;48658;49251;49691;50186;50569;50396;50446
775;Mishawaka city, Indiana;48252;48236;48203;48106;48045;48111;48260;48279;48814;48984;49810;50363
776;Plainfield city, New Jersey;49808;49595;49667;49816;49972;50223;50315;50464;50276;50367;50430;50317
777;Newark city, Ohio;47573;47558;47614;47720;47809;48034;48283;48592;48946;49471;50001;50315
778;Stillwater city, Oklahoma;45688;45721;45762;46264;46723;47426;48454;49135;49769;50039;50479;50299
779;Twin Falls city, Idaho;44125;44320;44517;44851;45088;45846;46480;47280;48287;49298;49713;50197
780;Texas City city, Texas;45099;45084;45284;45179;45577;45900;46383;47299;47994;48417;49078;50094
781;Cerritos city, California;49041;49043;49042;49223;49384;49507;49532;49546;50346;50697;50288;49859
782;Coral Gables city, Florida;46780;46746;46963;47613;49049;49762;50176;50275;50396;50628;50125;49700
783;Enid city, Oklahoma;49379;49385;49530;49529;50018;50787;51113;51478;50869;50132;49723;49688
784;Lakewood city, Ohio;52131;52131;52026;51662;51400;51257;51088;50811;50528;50211;50012;49678
785;Troy city, New York;50129;50162;50081;50020;49848;49921;49968;49776;49597;49433;49354;49154
786;Saginaw city, Michigan;51508;51469;51363;51012;50728;50272;49798;49230;48902;48696;48310;48115
787;Niagara Falls city, New York;50193;50031;49996;49760;49526;49328;49083;48769;48526;48249;48012;47720
788;Charleston city, West Virginia;51400;51340;51274;50992;50858;50657;50133;49457;48789;48040;47172;46536